24;Michael GOMEZ
25;Antonio BROWN
27;Anne HANSEN
35;Lyubov VASILEVA
30;Mikhail FERRARI
28;Juan RUSSO
36;Petra GUTIERREZ
59;Giuseppe NAGY
27;Giuseppe RICHTER
33;Tatiana SANTOS
97;Mario HUBER
69;Sergey RUSSO
33;Brigitte ROMERO
52;Valentina SIMON
63;Wolfgang MARIN
24;Giovanni POPOV
51;Marie JOHANSSON
64;Giovanni HOFFMANN
24;Igor BRAUN
19;Maria IVANOV
34;Christian SMIRNOV
31;Klaus KUZNETSOV
70;Valentina NIELSEN
23;Antonio SZABÓ
55;Anastasiya RAMOS
32;Marta RODRIGUEZ
150;Anton ROMERO
57;Paul KUZNETSOVA
24;Roman POPOVA
39;Evgeniy MEIER
37;Anastasiya ANDERSSON
85;Tomasz MAGOMEDOV
88;Patrick WILLIAMS
66;Nikolay KLEIN
30;Michael PETROVA
86;Wolfgang GONZALEZ
57;Ivan EVANS
35;Juan POPOV
21;Dmitriy LOPEZ
29;Yuliya ROMERO
59;Claude PAVLOVA
23;Valentina THOMAS
48;Alexander SANTOS
27;Nadezhda PAVLOVA
39;Nikolay MEYER
24;Sergey POPOV
110;Robert ROBERTS
32;Laura NOVIKOVA
58;David NOWAK
44;Piotr HUBER
25;Monika TORRES
32;Peter GARCIA
26;Evgeniy ALONSO
28;Denis IVANOVA
26;Andreas GONZALEZ
59;Klaus SANCHEZ
51;Andreas MORENO
24;Ivan KOVÁCS
72;Olga SMITH
24;Roman SHEVCHENKO
35;Vasylyi PEREIRA
34;Josef SCHULZ
34;Ekaterina JOHNSON
96;Mariya BRAUN
31;Peter POPOVA
27;Juan MORENO
138;Klaus VARGA
52;Yvan POPOVA
28;Natalya RUSSO
103;Vera DIAZ
94;Daniel RODRIGUEZ
102;Anna KOVÁCS
60;Tatiana ROMERO
36;Vasylyi BROWN
30;Olga WILSON
29;Andrei VOLKOVA
28;Evgeniy SCHMID
20;Christian MARTIN
36;Thomas MEIER
56;Mariya JOHANSSON
60;Laura ROMERO
30;Manfred MILLER
28;Mario NOWAK
63;Marta SANCHEZ
28;Tomasz HOFFMANN
25;Mariya HERNANDEZ
27;Peter NIELSEN
60;Andrea PEREIRA
60;Oksana NAGY
32;Anton SOKOLOVA
29;Aleksandra RICHTER
25;Giuseppe BRAUN
27;Klaus JENSEN
58;Aleksandra PETROVA
37;Paul SMITH
82;Francisco RUSSO
45;Natalya POPOV
60;John RAMOS
55;Marta SMITH
53;Marta SCHMIDT
25;Karin WOLF
23;Roman KARLSSON
24;Francisco SMIRNOV
79;Nikolay WILSON
79;Barbara KUZNETSOVA
35;Olha MEIER
33;Piotr NOWAK
134;Mario SZABÓ
63;Ivan SANCHEZ
68;Valentina HANSEN
31;Michel JOHANSSON
30;Francisco POPOV
59;Olga KARLSSON
24;Barbara TÓTH
27;Piotr KRAVCHENKO
23;Michel TAYLOR
33;Michel HERNANDEZ
36;Olha FERREIRA
84;Michael NOVIKOVA
22;Hans MARTIN
38;Sandra ZIMMERMANN
24;Thomas MUÑOZ
30;Vasylyi MÜLLER
36;Brigitte MILLER
64;Darya RAMOS
82;Klaus RODRIGUEZ
42;Nadezhda DIAZ
32;Klaus FISCHER
32;Evgeniy FERNANDEZ
32;Jan WILSON
53;Eva WOLF
133;Rosa SCHNEIDER
65;Anton MILLER
91;Tatyana VASILEVA
59;Andrey ROMERO
49;Michel SCHULZ
94;Olga ROSSI
58;Martin DAVIES
61;Christian BRAUN
56;Peter WILLIAMS
77;Anna SCHMIDT
126;Vera TAYLOR
45;Andreas BONDARENKO
26;Petra GONZALEZ
33;Christine TORRES
30;Francesco SMITH
29;Svetlana MUÑOZ
31;Alina SHEVCHENKO
69;Michel SMIRNOVA
52;Yuliya MILLER
113;Barbara TORRES
51;Valentyna JOHNSON
33;Anna TORRES
35;Andreas KUZNETSOV
61;Anne RICHTER
72;Angela KOCH
50;Jean BAUER
61;Karin BRAUN
29;Olga COSTA
26;Anne MARTINEZ
62;Marta FISCHER
56;Vera SCHULZ
38;Barbara SMIRNOVA
36;Barbara KUZNETSOV
63;Igor SMIRNOVA
28;Valentyna WOLF
65;Juan FERRARI
38;Martin MAGOMEDOV
63;Alina THOMAS
23;Marie FERRARI
32;Paul JIMENEZ
128;David VARGA
71;Manfred SCHÄFER
24;Sandra TORRES
32;Sandra SMITH
163;Ana HUBER
89;Vera RUIZ
34;Pavel TAYLOR
69;Marta ROSSI
29;Maksim SZABÓ
30;Christine SIMON
32;Mária SZABÓ
27;Patrick JONES
32;Denis RAMOS
30;Jan WOLF
60;Daniel PETROV
106;Natalya SMIRNOVA
28;Laura KUZNETSOV
37;Andrei HOFFMANN
94;Paul COSTA
32;Thomas NIELSEN
53;Denis PETROVA
27;Manfred NIELSEN
95;Pavel SCHULZ
53;Klaus WEBER
25;Paul MAGOMEDOV
65;Marta COSTA
37;Angela IVANOVA
33;Valentina WOLF
115;Hans MARIN
37;Richard SZABÓ
29;Yuliya GARCIA
53;Alexander MILLER
36;Rosa KRAVCHENKO
31;Pavel JONES
